size = 122175
mmap = 5124 cycles time 0.000000 micro s 
FOUND 90240 160 cycles: time  0.094118 micro s
FOUND 90304 164 cycles: time  0.096471 micro s
FOUND 90368 164 cycles: time  0.096471 micro s
FOUND 90432 164 cycles: time  0.096471 micro s
FOUND 90496 160 cycles: time  0.094118 micro s
FOUND 90560 164 cycles: time  0.096471 micro s
FOUND 90624 160 cycles: time  0.094118 micro s
FOUND 90688 552 cycles: time  0.324706 micro s
FOUND 90752 160 cycles: time  0.094118 micro s
FOUND 90816 164 cycles: time  0.096471 micro s
FOUND 94208 180 cycles: time  0.105882 micro s
FOUND 94272 168 cycles: time  0.098824 micro s
FOUND 94336 164 cycles: time  0.096471 micro s
FOUND 94400 160 cycles: time  0.094118 micro s
FOUND 94464 160 cycles: time  0.094118 micro s
FOUND 94528 164 cycles: time  0.096471 micro s
FOUND 94592 160 cycles: time  0.094118 micro s
FOUND 94656 164 cycles: time  0.096471 micro s
FOUND 94720 164 cycles: time  0.096471 micro s
FOUND 94784 164 cycles: time  0.096471 micro s
FOUND 94848 160 cycles: time  0.094118 micro s
FOUND 94912 164 cycles: time  0.096471 micro s
FOUND 98304 176 cycles: time  0.103529 micro s
FOUND 98368 164 cycles: time  0.096471 micro s
FOUND 98432 192 cycles: time  0.112941 micro s
FOUND 98496 168 cycles: time  0.098824 micro s
FOUND 98560 1196 cycles: time  0.703529 micro s
FOUND 98624 164 cycles: time  0.096471 micro s
FOUND 98688 164 cycles: time  0.096471 micro s
FOUND 98752 164 cycles: time  0.096471 micro s
FOUND 98816 144 cycles: time  0.084706 micro s
FOUND 98880 164 cycles: time  0.096471 micro s
FOUND 98944 160 cycles: time  0.094118 micro s
FOUND 99008 164 cycles: time  0.096471 micro s
FOUND 99072 160 cycles: time  0.094118 micro s
FOUND 99136 164 cycles: time  0.096471 micro s
FOUND 102400 336 cycles: time  0.197647 micro s
FOUND 102464 164 cycles: time  0.096471 micro s
FOUND 102528 164 cycles: time  0.096471 micro s
FOUND 102592 160 cycles: time  0.094118 micro s
FOUND 102656 168 cycles: time  0.098824 micro s
FOUND 102720 160 cycles: time  0.094118 micro s
FOUND 102784 164 cycles: time  0.096471 micro s
FOUND 102848 164 cycles: time  0.096471 micro s
FOUND 102912 160 cycles: time  0.094118 micro s
FOUND 102976 164 cycles: time  0.096471 micro s
FOUND 103040 160 cycles: time  0.094118 micro s
FOUND 103104 160 cycles: time  0.094118 micro s
FOUND 106496 180 cycles: time  0.105882 micro s
FOUND 106560 160 cycles: time  0.094118 micro s
FOUND 106624 1232 cycles: time  0.724706 micro s
FOUND 106651 288 cycles: time  0.169412 micro s
FOUND 106688 160 cycles: time  0.094118 micro s
FOUND 106752 168 cycles: time  0.098824 micro s
FOUND 106816 1460 cycles: time  0.858824 micro s
FOUND 106880 168 cycles: time  0.098824 micro s
FOUND 106944 164 cycles: time  0.096471 micro s
FOUND 107008 932 cycles: time  0.548235 micro s
FOUND 107072 164 cycles: time  0.096471 micro s
FOUND 107136 164 cycles: time  0.096471 micro s
FOUND 107200 900 cycles: time  0.529412 micro s
FOUND 107264 160 cycles: time  0.094118 micro s
FOUND 107328 160 cycles: time  0.094118 micro s
FOUND 107392 1568 cycles: time  0.922353 micro s
FOUND 110592 4736 cycles: time  2.785882 micro s
FOUND 110656 160 cycles: time  0.094118 micro s
FOUND 110720 160 cycles: time  0.094118 micro s
FOUND 110784 164 cycles: time  0.096471 micro s
FOUND 110848 160 cycles: time  0.094118 micro s
FOUND 110912 936 cycles: time  0.550588 micro s
FOUND 110976 160 cycles: time  0.094118 micro s
FOUND 111040 164 cycles: time  0.096471 micro s
FOUND 111104 164 cycles: time  0.096471 micro s
FOUND 111168 144 cycles: time  0.084706 micro s
FOUND 111232 160 cycles: time  0.094118 micro s
FOUND 111296 164 cycles: time  0.096471 micro s
FOUND 111687 172 cycles: time  0.101176 micro s
FOUND 112256 164 cycles: time  0.096471 micro s
FOUND 112320 160 cycles: time  0.094118 micro s
FOUND 112384 168 cycles: time  0.098824 micro s
FOUND 114688 276 cycles: time  0.162353 micro s
FOUND 114752 164 cycles: time  0.096471 micro s
FOUND 114816 164 cycles: time  0.096471 micro s
FOUND 114880 164 cycles: time  0.096471 micro s
FOUND 114944 160 cycles: time  0.094118 micro s
FOUND 115008 164 cycles: time  0.096471 micro s
FOUND 115072 232 cycles: time  0.136471 micro s
FOUND 115136 164 cycles: time  0.096471 micro s
FOUND 115200 164 cycles: time  0.096471 micro s
FOUND 115264 168 cycles: time  0.098824 micro s
FOUND 115328 160 cycles: time  0.094118 micro s
FOUND 115392 164 cycles: time  0.096471 micro s
FOUND 115456 164 cycles: time  0.096471 micro s
FOUND 115520 164 cycles: time  0.096471 micro s
FOUND 115584 160 cycles: time  0.094118 micro s
FOUND 115648 164 cycles: time  0.096471 micro s
FOUND 118784 184 cycles: time  0.108235 micro s
FOUND 118848 160 cycles: time  0.094118 micro s
FOUND 118912 164 cycles: time  0.096471 micro s
FOUND 118976 160 cycles: time  0.094118 micro s
FOUND 119040 164 cycles: time  0.096471 micro s
FOUND 119104 160 cycles: time  0.094118 micro s
FOUND 119168 164 cycles: time  0.096471 micro s
FOUND 119232 144 cycles: time  0.084706 micro s
FOUND 119296 164 cycles: time  0.096471 micro s
FOUND 119360 160 cycles: time  0.094118 micro s
FOUND 119424 164 cycles: time  0.096471 micro s
FOUND 119488 160 cycles: time  0.094118 micro s
Reached till here safely now exiting
